latitude,longitude,date,confidence,area,alert_type
1.4294643186953353,103.85154273735353,2025-10-01,0.93,3.32,GLAD-L
1.2864159138398874,103.85838214478407,2025-09-16,0.94,0.94,GLAD-L
1.341033540064471,103.75301799540891,2025-10-02,0.92,0.54,GLAD-L
1.4353951257999982,103.86969016035528,2025-10-04,0.85,3.34,GLAD-L
1.3986650688040558,103.88653389395353,2025-09-10,0.87,2.16,GLAD-L
1.2694663836271207,103.79776907884894,2025-09-21,0.83,3.98,GLAD-L
1.271616466425933,103.73297919112417,2025-09-27,0.85,0.22,GLAD-L
1.3260500868520926,103.7796794467662,2025-09-23,0.92,3.24,GLAD-L
1.3597138367673685,103.72432919958405,2025-09-27,0.71,2.36,GLAD-L
1.3930904760446183,103.8800294417987,2025-09-21,0.76,3.94,GLAD-L
1.3195677676277209,103.77805854736377,2025-09-19,0.83,2.91,GLAD-L
